Date,Symbol,Open,High,Low,Close,Volume,Pct_Change
2023-01-03,AAPL,130.28,130.9,124.17,125.07,112117471,-3.74
2023-01-04,AAPL,126.89,128.6557,125.08,126.36,89113633,1.03
2023-01-05,AAPL,127.13,127.77,124.76,125.02,80962708,-1.06
2023-01-06,AAPL,126.01,130.29,124.89,129.62,87754715,3.68
2023-01-09,AAPL,130.465,133.41,129.89,130.15,70790813,0.41
2023-01-10,AAPL,130.26,131.2636,128.12,130.73,63896155,0.45
2023-01-11,AAPL,131.25,133.51,130.46,133.49,69458949,2.11
2023-01-12,AAPL,133.88,134.26,131.44,133.41,71379648,-0.06
2023-01-13,AAPL,132.03,134.92,131.66,134.76,57809719,1.01
2023-01-17,AAPL,134.83,137.29,134.13,135.94,63646627,0.88
2023-01-18,AAPL,136.815,138.61,135.03,135.21,69672800,-0.54
2023-01-19,AAPL,134.08,136.25,133.77,135.27,58280413,0.04
2023-01-20,AAPL,135.28,138.02,134.22,137.87,80223626,1.92
2023-01-23,AAPL,138.12,143.315,137.9,141.11,81760313,2.35
2023-01-24,AAPL,140.305,143.16,140.3,142.53,66435142,1.01
2023-01-25,AAPL,140.89,142.43,138.81,141.86,65799349,-0.47
2023-01-26,AAPL,143.17,144.25,141.9,143.96,54105068,1.48
2023-01-27,AAPL,143.155,147.23,143.08,145.93,70555843,1.37
2023-01-30,AAPL,144.955,145.55,142.85,143.0,64015274,-2.01
2023-01-31,AAPL,142.7,144.34,142.28,144.29,65874459,0.9
2023-02-01,AAPL,143.97,146.61,141.32,145.43,77663633,0.79
2023-02-02,AAPL,148.9,151.18,148.17,150.82,118338980,3.71
2023-02-03,AAPL,148.03,157.38,147.83,154.5,154357337,2.44
2023-02-06,AAPL,152.575,153.1,150.78,151.73,69858306,-1.79
2023-02-07,AAPL,150.64,155.23,150.64,154.65,83322551,1.92
2023-02-08,AAPL,153.88,154.58,151.168,151.92,64120079,-1.77
2023-02-09,AAPL,153.775,154.33,150.42,150.87,56007143,-0.69
2023-02-10,AAPL,149.46,151.3401,149.22,151.01,57450708,0.09
2023-02-13,AAPL,150.952,154.26,150.92,153.85,62199013,1.88
2023-02-14,AAPL,152.12,153.77,150.86,153.2,61707573,-0.42
2023-02-15,AAPL,153.11,155.5,152.88,155.33,65669252,1.39
2023-02-16,AAPL,153.51,156.33,153.3475,153.71,68167942,-1.04
2023-02-17,AAPL,152.35,153.0,150.85,152.55,59144118,-0.75
2023-02-21,AAPL,150.2,151.3,148.405,148.48,58867230,-2.67
2023-02-22,AAPL,148.87,149.95,147.16,148.91,51011305,0.29
2023-02-23,AAPL,150.09,150.34,147.24,149.4,48394249,0.33
